"ID","version","startDate","patch","match-status","isLive","event","groupname","playoff-stage","overtrackOwnerID","VOD","VODname","bestOf","team1","team2","team1Score","team2Score","newRawdata","matchOfMatches","fatherMatch","privKey","srBefore","srAfter"
"2375","4","2018-01-11 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/217429641",,"4","338","333","0","4","0","0",NULL,,"0","0"
"2376","4","2018-02-22 00:00:00",NULL,"2","0","86","Stage 2","0",NULL,"https://www.twitch.tv/videos/231500523",,"4","329","333","4","0","0","0",NULL,,"0","0"
"2377","4","2018-04-04 23:03:00",NULL,"2","0","86","Stage 3","0",NULL,"https://www.twitch.tv/videos/246753705",,"4","328","330","1","3","0","0",NULL,,"0","0"
"2378","4","2018-05-16 23:00:00",NULL,"2","0","86","Stage 4","0",NULL,"https://www.twitch.tv/videos/262206441",,"4","334","338","3","1","0","0",NULL,,"0","0"
"2379","4","2018-01-11 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/217434337",,"4","328","334","0","4","0","0",NULL,,"0","0"
"2380","4","2018-01-11 04:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/217448418",,"4","330","329","1","2","0","0",NULL,,"0","0"
"2381","4","2018-01-11 23:10:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/217742268",,"4","332","335","3","1","0","0",NULL,,"0","0"
"2382","4","2018-01-12 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/217742504",,"4","337","331","3","2","0","0",NULL,,"0","0"
"2383","4","2018-01-12 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/217742704",,"4","318","336","1","3","0","0",NULL,,"0","0"
"2384","4","2018-02-22 02:00:00",NULL,"2","0","86","Stage 2","0",NULL,"https://www.twitch.tv/videos/231533298",,"4","330","328","3","1","0","0",NULL,,"0","0"
"2385","4","2018-02-22 04:00:00",NULL,"2","0","86","Stage 2","0",NULL,"https://www.twitch.tv/videos/231561619",,"4","334","338","4","0","0","0",NULL,,"0","0"
"2386","4","2018-02-23 00:00:00",NULL,"2","0","86","Stage 2","0",NULL,"https://www.twitch.tv/videos/231840549",,"4","331","332","3","2","0","0",NULL,,"0","0"
"2387","4","2018-02-23 02:00:00",NULL,"2","0","86","Stage 2","0",NULL,"https://www.twitch.tv/videos/231875860",,"4","336","335","3","1","0","0",NULL,,"0","0"
"2388","4","2018-02-23 04:00:00",NULL,"2","0","86","Stage 2","0",NULL,"https://www.twitch.tv/videos/231900262",,"4","318","337","0","4","0","0",NULL,,"0","0"
"2389","4","2018-04-05 01:00:00",NULL,"2","0","86","Stage 3","0",NULL,"https://www.twitch.tv/videos/246789551",,"4","333","329","4","0","0","0",NULL,,"0","0"
"2390","4","2018-04-05 02:00:00",NULL,"2","0","86","Stage 3","0",NULL,"https://www.twitch.tv/videos/246820391",,"4","338","334","3","1","0","0",NULL,,"0","0"
"2391","4","2018-04-05 21:00:00",NULL,"2","0","86","Stage 3","0",NULL,"https://www.twitch.tv/videos/247126327",,"4","335","336","0","4","0","0",NULL,,"0","0"
"2392","4","2018-04-05 23:00:00",NULL,"2","0","86","Stage 3","0",NULL,"https://www.twitch.tv/videos/247157394",,"4","337","318","2","3","0","0",NULL,,"0","0"
"2393","4","2018-04-06 01:00:00",NULL,"2","0","86","Stage 3","0",NULL,"https://www.twitch.tv/videos/247185747",,"4","332","331","2","3","0","0",NULL,,"0","0"
"2394","4","2018-05-17 01:00:00",NULL,"2","0","86","Stage 4","0",NULL,"https://www.twitch.tv/videos/262249518",,"4","329","333","2","3","0","0",NULL,,"0","0"
"2395","4","2018-05-17 03:00:00",NULL,"2","0","86","Stage 4","0",NULL,"https://www.twitch.tv/videos/262275516",,"4","330","328","3","1","0","0",NULL,,"0","0"
"2396","4","2018-05-17 21:00:00",NULL,"2","0","86","Stage 4","0",NULL,"https://www.twitch.tv/videos/262558468",,"4","318","337","1","3","0","0",NULL,,"0","0"
"2397","4","2018-05-17 23:00:00",NULL,"2","0","86","Stage 4","0",NULL,"https://www.twitch.tv/videos/262601790",,"4","336","335","3","0","0","0",NULL,,"0","0"
"2398","4","2018-05-18 01:00:00",NULL,"2","0","86","Stage 4","0",NULL,"https://www.twitch.tv/videos/262628670",,"4","331","332","4","0","0","0",NULL,,"0","0"
"2399","4","2018-01-13 01:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/218024580",,"4","333","330","3","0","0","0",NULL,,"0","0"
"2400","4","2018-01-13 03:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/218074919",,"4","335","318","0","4","0","0",NULL,,"0","0"
"2401","4","2018-01-13 05:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/218079394",,"4","338","328","3","1","0","0",NULL,,"0","0"
